ID,اسم الفرع عربي,اسم الفرع عبري,الهاتف,ساعات الدوام عربي,ساعات الدوام عبري,رابط Waze / Maps,Instagram,TikTok,Facebook,WhatsApp
1,دالية الكرمل,דלית אל כרמל,0525592293,يومياً: 10:00 - 22:00,כל יום: 10:00 - 22:00,https://waze.com/ul?q=Kiwi%20store%20Daliyat%20al-Karmel&navigate=yes,https://www.instagram.com/perfume.mad/,https://www.tiktok.com/@mad.perfume,https://www.facebook.com/MADPARFUMEURISRAEL,https://wa.me/525592293
9,القدس - صلاح الدين,ירושלים - סלאח א-דין,0545697644,الأحد-الخميس: 09:00-19:30<br>الجمعة: مغلق ❌,א'-ה': 09:00-19:30<br>שישי: סגור ❌,"https://www.waze.com/ul?ll=31.7838104,35.236511&navigate=yes",https://www.instagram.com/perfume.mad/,https://www.tiktok.com/@mad.perfume,https://www.facebook.com/MADPARFUMEURISRAEL,https://wa.me/545697644
10,القدس - سلطان سليمان,ירושלים - סולטאן סולימאן,0545697644,الأحد-الخميس: 09:00-19:30<br>الجمعة: مغلق ❌,א'-ה': 09:00-19:30<br>שישי: סגור ❌,https://waze.com/ul?q=Sultan%20Suleiman%20St%20Jerusalem&navigate=yes,https://www.instagram.com/perfume.mad/,https://www.tiktok.com/@mad.perfume,https://www.facebook.com/MADPARFUMEURISRAEL,https://wa.me/545697644
11,بيت حنينا,בית חנינא,0538318312,الأحد-الخميس: 09:00-21:00<br>الجمعة: مغلق ❌,א'-ה': 09:00-21:00<br>שישי: סגור ❌,https://ul.waze.com/ul?ll=31.84270095%2C35.22864819&navigate=yes&zoom=17&utm_campaign=default&utm_source=waze_website&utm_medium=lm_share_location,https://www.instagram.com/perfume.mad/,https://www.tiktok.com/@mad.perfume,https://www.facebook.com/MADPARFUMEURISRAEL,https://wa.me/538318312
5,بئر السبع,באר שבע,0548809957,يومياً: 09:00 - 20:00,כל השבוע: 09:00 - 20:00,"https://www.waze.com/ul?ll=31.2454066,34.7994449&navigate=yes",https://www.instagram.com/perfume.mad/,https://www.tiktok.com/@mad.perfume,https://www.facebook.com/MADPARFUMEURISRAEL,https://wa.me/548809957
6,رهط,רהט,0505841596,الأحد-الخميس: 09:00-20:00,א'-ה': 09:00-20:00,"https://www.waze.com/ul?ll=31.393133,34.7668897&navigate=yes",https://www.instagram.com/perfume.mad/,https://www.tiktok.com/@mad.perfume,https://www.facebook.com/MADPARFUMEURISRAEL,https://wa.me/505841596
18,أم الفحم,אום אלפחם,0506164130,يومياً: 10:00 - 22:00,כל השבוע: 10:00 - 22:00,"https://www.waze.com/ul?ll=32.5206069,35.1555539&navigate=yes",https://www.instagram.com/perfume.mad/,https://www.tiktok.com/@mad.perfume,https://www.facebook.com/MADPARFUMEURISRAEL,https://wa.me/506164130
19,العفولة,עפולה,0542144255,الأحد-الخميس: 09:00-22:00<br>السبت: مغلق ❌,א'-ה': 09:00-22:00<br>שבת: סגור ❌,"https://www.waze.com/ul?ll=32.6115685,35.2868666&navigate=yes",https://www.instagram.com/perfume.mad/,https://www.tiktok.com/@mad.perfume,https://www.facebook.com/MADPARFUMEURISRAEL,https://wa.me/542144255
20,الناصرة,נצרת,0545307980,يومياً: 09:00 - 22:00,כל השבוע: 09:00 - 22:00,"https://www.waze.com/ul?ll=32.6954537,35.2980894&navigate=yes",https://www.instagram.com/perfume.mad/,https://www.tiktok.com/@mad.perfume,https://www.facebook.com/MADPARFUMEURISRAEL,https://wa.me/545307980
15,باقة الغربية,באקה אלג׳רבייה,0536440073,يومياً: 10:00 - 23:00,כל יום: 10:00 - 23:00,"https://www.waze.com/ul?ll=32.4204461,35.0437769&navigate=yes",https://www.instagram.com/perfume.mad/,https://www.tiktok.com/@mad.perfume,https://www.facebook.com/MADPARFUMEURISRAEL,https://wa.me/536440073
17,كفر قرع,כפר קרע,0506164130,يومياً: 10:00 - 22:00,כל יום: 10:00 - 22:00,"https://www.waze.com/ul?ll=32.4984529,35.0644492&navigate=yes",https://www.instagram.com/perfume.mad/,https://www.tiktok.com/@mad.perfume,https://www.facebook.com/MADPARFUMEURISRAEL,https://wa.me/506164130
8,كفر قاسم,כפר קאסם,0522438398,يومياً: 11:00 - 23:00,כל יום: 11:00 - 23:00,"https://www.waze.com/ul?ll=32.1168851,34.9698127&navigate=yes",https://www.instagram.com/perfume.mad/,https://www.tiktok.com/@mad.perfume,https://www.facebook.com/MADPARFUMEURISRAEL,https://wa.me/522438398
16,الطيبة,טייבה,0523953681,يومياً: 10:00 - 23:00,כל יום: 10:00 - 23:00,https://www.waze.com/ul?q=Helmi%20Square%20Taibeh&navigate=yes,https://www.instagram.com/perfume.mad/,https://www.tiktok.com/@mad.perfume,https://www.facebook.com/MADPARFUMEURISRAEL,https://wa.me/523953681
25,طبريا,טבריה,046112266,يومياً: 09:00 - 21:00<br>السبت: مغلق ❌,כל השבוע: 09:00 - 21:00<br>שבת: סגור ❌,"https://www.waze.com/ul?ll=32.7878568,35.5393736&navigate=yes",https://www.instagram.com/perfume.mad/,https://www.tiktok.com/@mad.perfume,https://www.facebook.com/MADPARFUMEURISRAEL,https://wa.me/46112266
26,مجدل شمس - الجولان,מג'דל שמס - הגולן,0508514202,يومياً: 12:00 - 21:00,כל יום: 12:00 - 21:00,"https://www.waze.com/ul?ll=33.2669846,35.7671611&navigate=yes",https://www.instagram.com/perfume.mad/,https://www.tiktok.com/@mad.perfume,https://www.facebook.com/MADPARFUMEURISRAEL,https://wa.me/508514202
13,بقعاثا - الجولان,בקעאתה - הגולן,0508514202,يومياً: 12:00 - 21:00,כל יום: 12:00 - 21:00,"https://www.google.com/maps?q=33.199710845947266,35.77457809448242&z=17&hl=ar",https://www.instagram.com/perfume.mad/,https://www.tiktok.com/@mad.perfume,https://www.facebook.com/MADPARFUMEURISRAEL,https://wa.me/508514202
29,رام الله - الأيكون مول,ראמאללה - קניון אייקון,0592592502,يومياً: 10:00 - 22:00,כל יום: 10:00 - 22:00,https://maps.app.goo.gl/NEAY2wMbBYRh7WDx9,https://www.instagram.com/perfume.mad/,https://www.tiktok.com/@mad.perfume,https://www.facebook.com/MADPARFUMEURISRAEL,https://wa.me/592592502
291,رام الله - شارع الإرسال (مقابل KFC),ראמאללה - רחוב אל-אירסאל (מול KFC),0592592502,يومياً: 10:00 - 22:00,כל יום: 10:00 - 22:00,https://waze.com/ul?q=KFC%20Al-Irsal%20Ramallah&navigate=yes,https://www.instagram.com/perfume.mad/,https://www.tiktok.com/@mad.perfume,https://www.facebook.com/MADPARFUMEURISRAEL,https://wa.me/592592502
27,نابلس - بيت وزن,שכם - בית וזן,0598094672,يومياً: 10:00 - 22:00,כל השבוע: 10:00 - 22:00,https://waze.com/ul?q=Beit%20Wazan%20Nablus&navigate=yes,https://www.instagram.com/perfume.mad/,https://www.tiktok.com/@mad.perfume,https://www.facebook.com/MADPARFUMEURISRAEL,https://wa.me/598094672
271,نابلس - شارع يافا,שכם - רחוב יפו,0598094672,يومياً: 10:00 - 22:00,כל השבוע: 10:00 - 22:00,https://waze.com/ul?q=Jaffa%20Street%20Nablus&navigate=yes,https://www.instagram.com/perfume.mad/,https://www.tiktok.com/@mad.perfume,https://www.facebook.com/MADPARFUMEURISRAEL,https://wa.me/598094672
272,نابلس - سيتي مول,שכם - סיטי מול,0598094672,يومياً: 10:00 - 22:00,כל השבוע: 10:00 - 22:00,https://waze.com/ul?q=Nablus%20City%20Mall&navigate=yes,https://www.instagram.com/perfume.mad/,https://www.tiktok.com/@mad.perfume,https://www.facebook.com/MADPARFUMEURISRAEL,https://wa.me/598094672
31,قلقيلية - شارع التربية (مقابل مؤسسة مهنا),קלקוליה - רחוב החינוך (מול מוסד מהנא),0595800150,10:00-22:00 | الجمعة: 10:00-18:00,10:00-22:00 | שישי: עד 18:00,https://waze.com/ul?q=Mahanna%20Store%20Qalqilya&navigate=yes,https://www.instagram.com/perfume.mad/,https://www.tiktok.com/@mad.perfume,https://www.facebook.com/MADPARFUMEURISRAEL,https://wa.me/595800150
28, - مركز المدينه- طولكرم,טול כרם,0595552670,10:00-20:00 | الجمعة: 10:00-18:00,10:00-20:00 | שישي: עד 18:00,Mad Perfume Tulkarm,https://www.instagram.com/perfume.mad/,https://www.tiktok.com/@mad.perfume,https://www.facebook.com/MADPARFUMEURISRAEL,https://wa.me/595552670
30, صابات مول - بيت لحم,בית לחם,0599353940,يومياً: 10:00 - 22:00,כל יום: 10:00 - 22:00,Mad Perfume Bethlehem,https://www.instagram.com/perfume.mad/,https://www.tiktok.com/@mad.perfume,https://www.facebook.com/MADPARFUMEURISRAEL,https://wa.me/599353940
32, دوار مركز- البلد أريحا,יריחו,0592592502,يومياً: 10:00 - 22:00,כל יום: 10:00 - 22:00,Mad Perfume Jericho,https://www.instagram.com/perfume.mad/,https://www.tiktok.com/@mad.perfume,https://www.facebook.com/MADPARFUMEURISRAEL,https://wa.me/592592502
